Área,Nome do Documento,Finalidade,Link Atual (Drive),Status,Dono do Processo,Prioridade,,,,,,,,,,,,,,,,,,,
DI,Banco de vozes artificiais,Exemplos de vozes para envio de casting,01_Casting_Voz_artificial,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Templates Roteiros,Padrão de roteiros para inicio de projetos,DIs_Template_roteiros,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
Geral & Fluxo,Portifolio de produtos DOT,Arquivo com especificações de todos os produtos desenvolvidos pelo DOT,PORTFOLIO_DOT_30.12.22.xlsx,Sem informação,Gestão,2 º Trimestre,,,,,,,,,,,,,,,,,,,
DM,Padronização DMs,Checklists de passos que os DMs devem seguir em cada etapa do desenvolvimento,DMs,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
AV,Hub de AV,Espaço onde estão centralizados os documentos de AV (internos do time e externos),https://sites.google.com/dotgroup.com.br/fantastica-fabrica-de-videos/p%C3%A1gina-inicial,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Caixa de ferramentas,"Compilado de modelos, padrões e ferramentas para DMs",https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/introdu%C3%A7%C3%A3o,Em Revisão,Líder Especialidade,2 º Trimestre,,,,,,,,,,,,,,,,,,,
DM,Testes técnicos,Documentos de processos seletivos para DMs efetivos em DevEaD,02_Documentos-teste,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Descrição da vaga e atribuições,Documentos de processos seletivos para DMs efetivos em DevEaD,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/processo-seletivo/educa%C3%A7%C3%A3o-desenvolvimento-ead?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Critérios de Avaliação técnica de perfil e portfólio,Documentos de processos seletivos para DMs efetivos em DevEaD,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/processo-seletivo/educa%C3%A7%C3%A3o-desenvolvimento-ead?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Critérios avaliativos do teste técnico,Documentos de processos seletivos para DMs efetivos em DevEaD,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/processo-seletivo/educa%C3%A7%C3%A3o-desenvolvimento-ead?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Roteiro de entrevista técnica,Documentos de processos seletivos para DMs efetivos em DevEaD,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/processo-seletivo/educa%C3%A7%C3%A3o-desenvolvimento-ead?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Roteiro de entrevista final,Documentos de processos seletivos para DMs efetivos em DevEaD,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/processo-seletivo/educa%C3%A7%C3%A3o-desenvolvimento-ead?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Testes técnicos,Documentos de processos seletivos para DMs terceirizados em DevEaD,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/processo-seletivo/educa%C3%A7%C3%A3o-desenvolvimento-ead?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Descrição da vaga e atribuições,Documentos de processos seletivos para DMs terceirizados em DevEaD,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/processo-seletivo/educa%C3%A7%C3%A3o-desenvolvimento-ead?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Critérios de Avaliação técnica de perfil e portfólio,Documentos de processos seletivos para DMs terceirizados em DevEaD,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/processo-seletivo/educa%C3%A7%C3%A3o-desenvolvimento-ead?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Critérios avaliativos do teste técnico,Documentos de processos seletivos para DMs terceirizados em DevEaD,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/processo-seletivo/educa%C3%A7%C3%A3o-desenvolvimento-ead?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Onboarding,Seleção de documentos de onboarding,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/onboarding?authuser=0,Defasado,Líder Especialidade,2 º Trimestre,,,,,,,,,,,,,,,,,,,
DM,Ongoing,Documentos de ongoing DevEaD,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/dia-a-dia/educa%C3%A7%C3%A3o-desenvolvimento?authuser=0,Defasado,Líder Especialidade,2 º Trimestre,,,,,,,,,,,,,,,,,,,
DM,Boas práticas,Documentos de boas práticas de trabalho para DMs do DevEaD,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/dia-a-dia/educa%C3%A7%C3%A3o-desenvolvimento?authuser=0,Defasado,Líder Especialidade,2 º Trimestre,,,,,,,,,,,,,,,,,,,
DM,Ongoing,Documentos de ongoing EduCom,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/dia-a-dia/educa%C3%A7%C3%A3o-educomunica%C3%A7%C3%A3o?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Boas práticas,Documentos de boas práticas de trabalho para DMs de EduCom,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/dia-a-dia/educa%C3%A7%C3%A3o-educomunica%C3%A7%C3%A3o?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Boas práticas,Documentos de boas práticas de trabalho para DMs de Produto,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/dia-a-dia/tecnologia-produto/studion-mx?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Materiais ricos e carreira,Disponibilização de conteúdos ricos já consumidos por colegas,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/carreira/conte%C3%BAdos?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,PDI,"Seleção de conteúdos, cursos e livros para PDI",https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/carreira/desenvolvimento-individual?authuser=0,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,PDC,Registro dos últimos PDCs,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/carreira/desenvolvimento-coletivo?authuser=0,Defasado,Líder Especialidade,3º Trimestre,,,,,,,,,,,,,,,,,,,
DM,Feedback,Indicações para Feedback,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/carreira/feedback?authuser=0,Em Revisão,Líder Especialidade,3º Trimestre,,,,,,,,,,,,,,,,,,,
LP,Diretrizes,Diretrizes de Gestão de Projetos,Especialidade de Gestão de Projetos | Diretrizes_v1.2.docx,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
LP,Relatório de Execução,"Modelo de relatórios de execução para as áreas de negócio: DevEaD, Intel e Operação",Relatórios de Execução Financeira,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
LP,Plano de contrato,Check list com ações (por fase de execução do projeto) e agenda de atribuições,20251017_CLIENTE_SOLUÇÃO_CHECKLIST_PLANO_DE_CONTRATO,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
LP,Kickoff,Modelo padrão para kickoff do projeto,20251017_CLIENTE_SOLUÇÃO_KICKOFF.pptx,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
LP,Kickoff,Modelo padrão DevEaD para kickoff do projeto,DevEaD_Projeto_Template_Cliente_Projeto_Kickoff.pptx,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
LP,Rubrica do contrato,Modelo de gestão de rubricas e controle orçamentário,MODELO_CLIENTE | ÁREA DE NEGÓCIO [Contrato XX/XXX],Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
LP,Matriz RACI,Maper as atribuições e responsabilidades de cada interlocutor,20260116_CLIENTE_SOLUÇÃO_MATRIZ_RACI.xlsx,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
LP,Mapeamento de riscos,Template modelo para gestão de riscos,20251017_CLIENTE_SOLUÇÃO_GERENCIAMENTO_DE_RISCOS,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
LP,Ata de Status Report,Modelo de Ata para registro das ações do projeto,20251017_CLIENTE_SOLUÇÃO_ATA_STATUS_REPORT.docx,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
LP,Repasse de projeto,Template modelo para repasse ao DevEaD,Documento de Repasse_Fundação Itau Social.docx,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
LP,Termo de Encerramento,Relatório e/ou apresentação de encerramento do contrato para envio ao Cliente;,20251017_CLIENTE_SOLUÇÃO_TERMO_DE_ENCERRAMENTO.pptx,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Caixa de ferramenta,Orientações para DMs no dia a dia,https://sites.google.com/dotgroup.com.br/caixa-de-ferramentas-design/introdu%C3%A7%C3%A3o,Válido,DMs,,,,,,,,,,,,,,,,,,,,
DM,Templates Repasses Fornecedores,Arquivos de padrões para repasses a terceiros,03_Repasses,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Formações,Boas práticas e dicas para criar guias de entregáveis,01_Formacoes,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Check-list validação,Check-list para,02_Checklists,,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DM,Wireframe,Instrução de uso da ferramenta,Wireframe,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
Geral & Fluxo,Fluxo de desenvolvimento EaD,Informações de fluxo de produção do desenvolvimento EaD,Fluxo_Prod_Navegavel_Editavel,Sem informação,Gestão*,1º Trimestre,,,,,,,,,,,,,,,,,,,
PC,Manual de Prompts Produção de Mapa de conteúdo,Manual de Prompts Produção de Mapa de conteúdo com o Gemini,Geração_Mapa_Conteúdo_Gemini,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Manual de Roteirização com IA no Flow,Manual de Roteirização com IA no Flow,Flows,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
